ā 吖呵啊腌錒锕阿
bīn 㺍份傧儐宾彬斌梹椕槟檳汃滨濒濱濵瀕玢瑸璸砏繽缤虨豩豳賓賔邠鑌镔霦頻顮频
bìn 儐摈擯殡殯膑臏髌髕髩鬂鬓鬢
bīng 仌仒兵冫冰屏并幷掤栟梹槟檳氷絣鋲
bǐng 丙偋寎屏屛怲抦昞昺柄棅炳琕眪禀秉稟苪蛃邴鈵鉼陃鞆鞞鞸餅餠饼
bìng 並併倂偋傡垪寎并幷庰摒枋栤病窉竝誁靐鮩
bō 僠剝剥哱嶓拨撥播波溊玻癶癷皪盋砵碆磻礡紴缽般菠蕃袰趵蹳鉢钵餑饽驋鱍𬭛
bó 㗘䬪䶈亳仢伯佛侼僰勃博嚗壆孛帛彴愽懪挬搏柏柭榑欂殕泊浡淿渤煿牔狛猼瓝瓟礴秡穛箔簙簿糪肑胉脖膊舶艊艴苩萡葧薄袯袹襏襮誖謈踣郣鈸鉑鋍鎛鑮钹铂镈餺馎馛馞駁駮驳髆髉鮊鲌鵓鹁
bǒ 㝿癷簸蚾跛
bò 孹擗擘柏檗檘簸蔢薄蘗譒
bo 卜啵噃蔔
bū 峬庯晡誧逋鈽錻钸餔鯆鵏
bú 轐醭鳪
bǔ 卜卟哺堡捕捬补補鸔
bù 㘵不佈勏吥咘埔埗埠婄布廍怖悑抪捗柨步歨歩瓿箁篰簿荹蔀踄部郶鈈钚餢𫗦
būn 兺
cā 䃰嚓拆擦攃
cǎ 礤礸
cà 囃遪
cāi 偲揌猜
cái 才扐材纔裁財财
cǎi 倸啋埰婇寀彩採棌毝睬綵跴踩采
cài 埰寀縩菜蔡采
cān 䱗傪参參叄叅喰囋嬠湌爘飡餐驂骖𮬞
cán 㨻惭慙慚摲残殘蚕蝅蠶蠺
cǎn 䅟惨慘憯朁穇篸黪黲𥮾
càn 傪儏嘇孱掺澯灿燦璨粲薒謲鏒
cāng 仓仺伧倉傖凔嵢沧滄濸獊玱瑲篬舱艙苍蒼螥鶬鸧
cáng 匨欌藏鑶
càng 賶
cāo 䎭撡操糙
cáo 㯥傮嘈嶆慒曹曺槽漕艚蓸螬褿鏪𥕢
cǎo 屮愺慅懆艸草騲
cào 肏襙鄵鼜
cè 䇲侧側冊册厕厠夨廁恻惻憡拺敇栅测測畟笧策筞筴箣簎粣荝萗萴蓛𤭢
cēn 参參叄叅嵾穇篸
cén 埁岑梣汵涔笒
cēng 噌
céng 层層嶒曽曾橧竲驓
cèng 蹭
chā 偛叉喳嗏嚓差扠扱挿插揷杈疀碴臿艖芆銟鍤鎈锸餷馇
chá 叉垞察嵖捈搽摖查査梌楂槎檫猹碴秅苴茬茶詧靫
chǎ 叉紁衩蹅鑔镲
chà 㤞䟕䶪仛侘刹剎叉奼姹岔差杈汊紁衩詫诧
chāi 差拆肞芆釵钗
chái 侪儕喍柴犲祡豺
chǎi 䜺茝
chài 囆差瘥虿蠆袃訍
chān 㢟幨掺搀摻攙梴緂裧襜覘觇辿鋓
chán 僝儃儳劖单單嚵壥婵嬋孱崭嶃嶄巉廛棎欃毚湹潹潺澶瀍瀺煘獑磛禅禪緾繟繵纏纒缠艬苂蝉螹蟐蟬蟾誗讒谗躔鄽酁鋋鑱镡镵饞馋𮣴
chǎn 䊲丳产冁刬剗剷啴嘽囅嵼幝摌斺旵浐滻灛燀產産簅繟蒇蕆諂譂讇谄醦鏟铲閳闡阐骣𬊤
chàn 儳刬剗幝幨忏懴懺摲燀硟羼韂顫颤
chāng 伥倀倡娼昌椙淐猖琩菖裮錩锠閶闛阊鯧鲳鼚
cháng 䗅仧仩倘偿償兏嘗嚐场場塲嫦尝常徜瑺瓺甞肠腸膓苌萇裳長镸长鱨鲿
chǎng 䠀僘厂厰场場塲廠惝敞昶氅淌鋹𬬮
chàng 倡唱怅悵暢焻玚瑒畅畼誯韔鬯𮧴
chāo 剿劋勦吵弨怊抄摷樔欩焯窼綽绰訬超鈔钞
cháo 嘲巢巣晁朝樔漅潮牊窲罺謿轈鄛鼂鼌
chǎo 䏚吵巐槱炒焣煼眧粆麨𪎊
chào 仦仯耖觘
chē 伡俥唓砗硨莗蛼車车
chě 偖奲尺扯撦
chè 㬚勶呫坼屮彻徹掣揊摰撤澈烢烲焎爡瞮硩聅迠頙
chēn 䐜嗔抻捵棽琛瘨瞋綝諃謓賝郴𬘭
chén 塵宸尘忱愖敐敶晨曟栕桭梣樄沈沉煁瘎臣茞莀莐蔯薼螴訦諶谌跈軙辰迧鈂陈陳霃鷐麎𮭦
chěn 墋夦硶碜磣贂趻踸醦鍖𫮅
chèn 偁儭嚫榇櫬爯疢称稱衬襯讖谶趁趂齓齔龀𠋆
chen 伧傖
chēng 偁净凈噌憆抢搶摚撐撑晿朾柽棦樘橕橖檉泟浾淨爯牚琤瞠矃碀称稱竀緽罉蛏蟶赪赬鎗鏿鐣鐺铛阷靗頳饓
chéng 䄇丞乗乘呈城埕埩堘塍塖娍宬峸惩憕懲成承挰掁揨撜晟朾枨棖椉橙檙氶洆浧溗澂澄瀓珵珹畻盛程窚筬絾脭荿裎誠诚郕酲鋮铖騬鯎𡷫
chěng 侱庱徎悜睈裎逞騁骋
chèng 牚秤称稱穪竀
chī 吃哧喫嗤噄噭妛媸彨彲摛攡樆殦瓻痴癡眵瞝笞粚絺胵蚩螭訵誺郗魑鴟鵄鸱黐齝𫄨𬸈
chí 䶵俿匙坻墀弛徲持柢歭池沶漦狋竾筂箈箎篪耛茌荎菭蚳謘貾赿跢踟迟迡遅遟遲邌鍉馳驰鶗鶙
chǐ 伬侈卶叺呎垑尺恥扡拸欼歯耻肔胣蚇袲袳裭褫誃豉鉹齒齿
chì 佁侙傺勅勑叱啻彳恜慗慸憏懘抶捇敕斥杘柅湁灻炽烾熾痓痸瘈瘛眙翄翅翤翨腟誃赤趩遫鉓銐雴飭饬鶒鷘
chi 麶
chō 𫼝
chōng 㳘充冲嘃徸忡憃憧摏沖浺涌珫罿翀舂艟茺衝蹖
chóng 䖝崇崈漴爞痋种緟虫蝩蟲褈重隀
chǒng 宠寵
chòng 冲揰銃铳𥅻
chōu 䌷婤抽掫搊牰犨犫瘳篘紬跾醔𥬠
chóu 㵞䌷䓓仇俦儔嚋嬦帱幬怞惆愁懤栦梼椆燽畤畴疇皗盩稠筹籌紬絒綢绸菗薵裯詶讎讐诪踌躊酧酬醻雔雠雦鮘
chǒu 丑丒侴偢吜杻杽瞅矁醜魗
chòu 殠臭臰遚
chū 䃼䝙䢺出初岀摢摴榋樗櫖貙齣
chú 㗙㡡䠧刍助厨媰幮廚橱櫉櫥滁犓篨耝耡芻蒢蒭藸蜍蟵豠趎蹰躇躕鉏鋤锄除雏雛鶵𬬺
chǔ 䶥储儲処处杵椘楚楮檚濋璴础礎禇處褚齭齼𬺓
chù 㤘亍俶傗儊処嘼埱处怵慉憷搐敊斶柷欪歜泏滀炪珿琡畜矗竌竐絀绌臅菆触觸諔豖鄐閦黜
chu 橻𪭢
chuā 欻歘
chuāi 揣搋
chuái 膗
chuǎi 揣
chuài 䦟䦷啜嘬揣欼膪踹
chuān 巛川氚猭瑏穿
chuán 䏝传傳剶圌暷椯椽歂篅膞舡舩船輲遄
chuǎn 僢喘歂舛荈踳
chuàn 串汌猭玔賗釧钏鶨
chuāng 㠉刅创創摐牎牕疮瘡窓窗窻
chuáng 䃥喠噇幢床朣橦牀
chuǎng 傸磢闖闯
chuàng 创刱剏剙創怆愴
chuī 䶴吹炊龡
chuí 㩾倕圌垂埀捶搥桘棰椎槌硾箠腄菙錘鎚锤陲顀
chuì 惙
chūn 䲠堾媋旾春暙杶椿槆橁櫄瑃箺芚萅蝽輴鰆鶞𮝸
chún 㝇䏝唇浱淳湻滣漘犉純纯肫脣膞莼蒓蓴醇醕錞陙鯙鶉鹑𬭚
chǔn 偆惷朐睶萶蠢賰
chuō 戳繛趠踔逴
chuò 㚟㲋吷哾啜嚽娕娖婥婼孎惙拺擉歠涰淖磭箹綽繛绰踀輟辍辵辶酫鋜鏃鑡餟齪龊
cī 偨刺呰呲差玼疵縒蠀趀跐骴髊齹
cí 兹垐嬨慈柌濨珁瓷甆磁礠祠糍茈茨薋詞词辝辞辤辭雌飺餈鴜鶿鷀鹚
cǐ 佌啙此泚玼皉跐鮆𫚖
cì 伺佽刺刾庛朿栨次絘茦莿蛓螆賜赐
cōng 匆囪囱忩怱悤暰枞棇楤樅樬漗潨焧熜瑽璁瞛篵繱聡聦聪聰苁茐葱蓯蔥蟌鍯鏓鏦騘驄骢𪻐𫓩
cóng 丛从叢婃孮従徔徖從悰慒樷欉淙漎潀潈灇爜琮碂藂誴賨賩錝
còng 䟲愡憁謥
còu 傶凑楱湊腠輳辏
cū 怚橻粗觕麁麄麆麤
cú 徂殂
cǔ 皻
cù 㤘䃚䠞促卒噈媨憱猝瘄瘯簇縬脨蔟誎趋趗趣趨踧踿蹙蹴蹵酢醋顣鼀𫖹
cuān 撺攛汆蹿躥鋑鑹镩
cuán 巑攒攢櫕欑濽灒穳酂酇
cuàn 殩熶爨窜窽窾竄篡簒
cuī 催凗墔崔嵟慛摧榱槯漼獕磪縗缞衰鏙隹
cuǐ 漼熣璀皠趡
cuì 伜倅啐啛崒忰悴椊毳淬濢焠琗疩瘁竁粋粹紣綷翆翠脃脆脺膬膵臎萃襊顇𮉬
cūn 村澊皴竴膥踆邨
cún 侟壿存拵澊蹲
cǔn 刌忖
cùn 吋寸籿
cuō 搓撮瑳磋蹉遳醝鎈
cuó 嵯嵳痤瘥睉矬蒫蔖虘酂酇鹺鹾
cuǒ 脞
cuò 剉剒厝夎庴挫措棤縒莝莡蓌諎逪銼錯锉错
dā 䐛䪏咑哒嗒噠墶搭撘笚答耷荅褡鎉鎝
dá 剳匒呾妲怛惮憚打沓溚炟燵畗畣瘩笪答羍荅荙薘蟽詚达迏迖迚逹達鐽靼鞑韃龖龘鿎𫟼
dǎ 打
dà 亣大汏眔
da 㟷垯疸瘩繨跶
dāi 呆呔待懛獃
dǎi 傣歹逮
dài 代侢叇垈埭大岱帒带帯帶廗待怠戴曃柋棣殆毒瀻玳瑇甙箉簤紿緿绐艜蚮蝳袋襶詒诒貣貸贷跢蹛軑軚軩轪迨逮釱隸霴靆駘骀鮘鴏黛黱𥿝
dān 㴷丹儋勯匰单単單妉媅愖担擔殚殫甔瘅癉眈砃箪簞耼耽聃聸褝襌躭郸鄲酖頕𬘘
dǎn 丼亶伔刐嵅抌担掸撢撣燀玬瓭疸皽紞胆膽衴賧赕馾黕黵
dàn 亶但僤儋呾唌啖啗啿嘾噉嚪帎弹弾彈惔惮憚憺担擔旦柦氮沊泹淡澹狚疍瘅癉癚石禫窞繵腅膻萏蓞蛋蜑觛訑誕诞贉醈霮餤饏馾駳髧鴠黮𫎫𫢸𫫦
dāng 㜭儅噹当澢珰璫當筜簹艡蟷裆襠鐺铛闣
dǎng 党嵅挡擋攩欓灙當譡讜谠黨
dàng 偒儅凼圵垱壋婸宕崵嵣当愓挡擋档檔氹潒瑒璗瓽當盪瞊砀碭礑簜荡菪蕩蘯趤逿闣雼𬍡
dāo 㧅刀刂叨忉朷氘舠螩裯釖魛鱽𣱼
dáo 叨捯
dǎo 倒嘄壔导導岛島嶋嶌嶹捣搗擣槝祷禂禱蹈陦隝隯
dào 倒到噵帱幬悼梼椡檤焘燾瓙盗盜稲稻箌絩纛翢翿艔菿衜衟軇辺道
dē 嘚
dé 㥁得徳德恴悳惪棏淂蚮鍀锝
de 地嶳底得的脦
dēi 嘚
děi 得
dèn 㩐扥扽
dēng 䔲噔嬁灯燈璒登竳簦艠豋蹬鐙镫
děng 戥等
dèng 僜凳墱嶝憕櫈澄瀓瞪磴覴蹬邓鄧鐙镫隥
dī 䃅仾低啲埞堤奃岻彽提樀氐渧滴的碮磾秪羝袛趆鏑镝隄鞮
dí 䯼唙啇嘀嚁嫡廸扚敌敵梑涤滌狄的笛篴籴糴翟肑苖荻蓧蔋蔐藡覿觌豴蹢迪適鏑镝靮頔馰髢鸐𬱖
dǐ 厎呧坘坻底弤抵拞掋提枑柢楴氐牴砥聜茋菧觝詆诋軧邸阺骶鯳
dì 䗖俤偙僀哋地坔埅埊墆墑墬娣媂嵽嶳帝弟怟慸揥摕旳杕枤梊棣楴渧焍玓珶甋疐的眱睇碲祶禘第締缔腣苐菂蒂蔕蝃蝭螮諟諦谛踶递逓遆遞遰釱鉪𤧛
diǎ 嗲
diān 傎厧嵮巅巓巔掂攧敁槇槙滇瘨癫癲窴蹎顚顛颠齻𭣇
diǎn 典嚸奌婰敟椣点碘蒧蕇跕踮點
diàn 佃坫垫墊壂奠婝店惦扂橂橝殿淀澱玷琔电甸痁痶癜簟蜔鈿钿阽電靛驔
diāo 凋刁刟叼奝弴彫椆汈琱瞗碉簓虭蛁貂錭雕鮉鯛鲷鳭鵰鼦
diǎo 屌扚鳥
diào 伄吊弔掉瘹盄窎窵竨絩蓧藋訋誂調调釣鈟銚銱鋽鑃钓铞铫雿魡𦰏
diē 爹褺跌跕
dié 㲲佚叠咥啑喋垤堞峌崼嵽幉怢恎惵戜挕揲昳曡柣楪槢殜氎泆牃牒瓞畳疂疉疊眣眰碟絰绖耊耋胅臷艓苵蜨蝶螲褋詄諜谍趃跮蹀軼迭镻鞢鰈鲽鴩𫶇
diè 哋
dīng 㐉丁仃叮奵帄玎町甼疔盯耵虰酊釘钉靪
dǐng 奵嵿濎艼薡酊鐤頂顶鼎鼑
dìng 啶定忊掟椗矴碇碠磸聢腚萣訂订釘鋌錠钉铤锭顁飣饤
diū 丟丢銩铥颩
dōng 东倲冬咚埬娻岽崠崬徚昸東氡氭涷笗苳菄蝀鮗鯟鶇鶫鸫鼕
dǒng 墥嬞懂揰箽董蕫諌
dòng 㗢䞒侗働冻凍动動勭垌姛娻峒崠恫戙挏栋棟洞湩烔燑狪硐絧胨胴腖迵霘駧
dōu 侸兜兠吺唗橷瞗篼蔸都
dóu 唞
dǒu 乧抖斗枓蚪鈄钭阧陡
dòu 斗斣梪毭浢渎瀆狵痘窦竇脰荳读豆逗郖酘鋀閗闘餖饾鬥鬦鬪鬬鬭𥥷
dū 㞘剢厾叾嘟督都醏闍阇
dú 凟匵嬻椟櫝殰毒涜渎瀆牍牘犊犢独獨瓄皾裻読讀讟读豄贕錖鑟韇韣韥頓顿騳髑黩黷𮙋
dǔ 堵暏琽睹竺笃篤肚覩賭赌
dù 妒妬姤度斁晵杜殬渡秺肚芏荰螙蠧蠹鍍镀靯𬭊𭣧
du 𬭚
duān 偳剬媏端耑褍鍴
duǎn 短
duàn 塅断斷椴段毈煅瑖碫簖籪緞缎腶葮躖鍛锻
duī 䊚䭔垖堆塠痽磓追鐓鐜鴭𫗰
duǐ 啍頧
duì 㙂䨺兊兌兑对対對怼憝憞懟敓敚敦杸濧濻瀢瀩碓祋綐薱譈譵轛镦队陮隊
dūn 㥫吨噸墩墪墫惇撉撴敦橔犜獤礅蜳蹲蹾镦驐𮪥
dǔn 盹趸躉𣎴
dùn 伅囤坉庉忳憞楯沌潡炖燉盾砘碷踲逇遁遯鈍钝頓顿
duō 㙍剟咄哆嚉多夛掇敠敪毲畓裰跢
duó 仛凙剫喥夺奪度敓敚沰痥踱鈬鐸铎
duǒ 䫂亸哚嚲垛垜埵奲崜挆朵朶椯硾綞缍袳趓躱躲軃𫰂
duò 㧷䲊刴剁垛垜堕墮墯媠尮惰憜挅挆杕杝枤柁柂柮桗沲舵跢跥跺陊陏隋隓隳飿饳馱駄驮鵽
ē 妸妿娿婀屙痾阿
é 俄吪哦囮娥峉峨峩涐珴皒睋磀莪蛾訛誐譌讹迗鈋鋨锇頟額额魤鵝鵞鹅
ě 噁娿恶惡枙砨頋騀鵈
è 㔩㟯㧖偔僫匎卾厄呃呝咢咹啞噩垩堊堨堮姶娾岋崿廅恶悪惡愕戹扼搕搤搹擜敋枙櫮歞歺洝湂琧痷砈砐硆礘腭苊萼蕚蚅蝁覨諤讍谔豟軛軶轭遌遏遻鄂鈪鍔鑩锷閼阏阨阸頞顎颚餓餩饿鰐鰪鱷鳄鶚鹗齃齶𥔲𬃘
e 呃襨
ēi 欸誒诶
éi 欸誒诶
ěi 欸誒诶
èi 欸誒诶
ēn 奀恩煾蒽
ěn 峎
èn 摁
ēng 鞥
ér 㖇侕儿児兒唲峏杒栭梕洏粫而耏聏胹荋袻輀轜陑隭髵鮞鲕鴯鸸𮝵
ěr 尒尓尔栮毦洱爾珥耳薾衈趰迩邇鉺铒餌饵駬
èr 㛅二佴刵咡弍弐樲誀貮貳贰髶
fā 冹发彂沷発發酦醗醱𬙆
fá 䇅乏伐傠坺垡墢姂栰橃浌疺瞂笩筏罚罰罸茷藅閥阀𬙆
fǎ 佱峜法灋砝鍅
fà 发珐琺蕟髪髮
fa 𠲎
fān 勫噃嬏帆幡忛憣拚旙旛犿畨番籓繙翻蕃藩轓颿飜鱕𬳳
fán 䋦䫶凡凢凣匥墦杋柉棥樊氾瀿烦煩燔璠矾礬笲籵緐繁羳膰舤舧蕃薠蘩蠜襎蹯釩鐇鐢钒鷭𫔍𬸪
fǎn 仮反払橎返
fàn 㶗奿婏嬎桳梵氾汎泛滼瀪犯畈盕笵範范訉販贩軓軬輽飯飰饭
fāng 匚坊堏方枋汸淓牥祊芳蚄趽邡鈁錺钫鴋
fáng 坊埅妨房肪防魴鲂
fǎng 仿倣彷旊昉昘瓬眆眪紡纺舫訪访髣鶭
fàng 放趽
fēi 啡妃婓婔扉斐暃渄猆緋绯菲蜚裶霏非靟飛飝飞餥馡騑騛鯡鲱𬴂
féi 淝疿痱肥腓蜰
fěi 匪奜悱斐朏棐榧篚翡胐菲蕜蜚誹诽
fèi 俷剕厞吠屝废廃廢昲曊杮柹橃橨櫠沸濷犻狒疿痱癈砩笰肺胇胏芾萉蟦費费鐨镄陫靅鼣𫂈
fēn 㬟分吩帉昐朆梤棻氛玢砏竕紛纷翂芬衯訜躮酚鈖雰餴饙馚
fén 坆坟墳妢岎幩朌枌棼橨汾濆炃焚燌燓獖羒羵蒶蕡蚠蚡豮豶轒鐼隫馩魵鳻黂鼖鼢𣸣
fěn 粉黺
fèn 㻞㿎份偾僨分噴坋奋奮弅忿愤憤橨瀵獖瞓秎粪糞膹鱝鲼
fēng 㕫䒠丰仹偑僼凨凬凮埄夆妦寷封峯峰崶枫桻楓檒沣沨渢灃炐烽熢犎猦琒疯瘋盽砜碸篈莑葑蘴蜂蠭豐鄷酆鋒鎽鏠锋霻靊風飌风麷
féng 冯堸夆摓浲溄漨綘縫缝艂逢馮
fěng 唪覂諷讽風风
fèng 俸凤奉桻湗焨煈縫缝葑賵赗鳯鳳鴌
fiào 覅
fó 仏仸佛坲梻
fóu 紑
fǒu 不否妚殕炰缶缹缻雬鴀
fū 㕊伕呋夫妋姇娐孵尃怤懯抙捊敷旉枎柎玞琈璷砆稃筟粰糐紨綒肤胕膚荂荴蓲衭趺跗邞鄜酜鈇鳺麩麬麱麸𫓧
fú 㞎㳇䃼䪙乀伏佛俘凫刜匐咈哹垘垺夫姇孚宓岪巿帗幅幞弗彿怫払扶拂服枎枹柫柭栿桴棴榑氟泭洑浮涪澓炥烰玸琈甶畉畐畗癁砩祓福稪符笰箁箙粰紱紼絥綍纀绂绋罘罦翇胕艀艴芙芣芾苻茀茯莩菔葍虙蚨蜉蝠袚袱褔襆襥諨豧踾輻辐郛鉘鉜韍韨颫颰髴鮄鮲鳧鳬鴔鵩鶝黻𫛳
fǔ 㕮䓛乶俌俛俯嘸府弣抚拊捬撫斧柎椨滏焤父甫盙簠脯腐腑蚥蜅輔辅郙釜釡阝頫鬴黼𫖯
fù 㓀㗘㳇㵗䪙付偩傅冨副咐坿复妇婏婦媍嬔富峊復捬服柎椱榑洑父祔禣秿竎紨緮縛缚腹萯蕧蚥蚹蛗蝜蝮袝複褔覄覆訃詂讣負賦賻负赋赙赴輹鍑鍢阜附馥駙驸鮒鰒鲋鳆
gā 㹢伽呷咖嘎嘠夹夾戛旮胳
gá 嘎嘠噶尜軋轧釓錷钆
gǎ 嘎嘠尕玍
gà 尬魀
gāi 侅垓姟峐晐畡祴絯荄該该豥賅賌赅郂陔隑
gǎi 忋改絠胲
gài 丐乢匃匄戤摡杚概槩槪溉漑瓂盖磑芥葢蓋鈣钙𬮿
gān 㶥乾凲咁坩尲尴尶尷干忓攼杆柑泔漧玕玵甘疳矸秆竿筸粓肝苷虷迀酐魐鳱
gǎn 䤗仠感擀敢杆桿橄澉澸皯秆稈笴篢簳芉衦赶趕鱤鳡
gàn 㽏佄倝凎干幹旰榦檊汵淦灨盰簳紺绀詌贑贛赣骭𫎬
gāng 㧏㭎亢冈冮刚剛堈堽岗岡崗扛掆摃杠棡牨犅疘矼碙綱纲缸罁罡肛釭鋼鎠钢𮣲
gǎng 㽘岗崗港犺𮭰
gàng 戅戆戇杠槓焵焹筻鋼钢鿍
gāo 槔槹橰櫜獋皋皐睪睾篙糕羔羙膏臯韟餻高髙鷎鷱鼛
gǎo 夰搞杲槀槁檺稁稾稿縞缟菒藁藳鎬镐
gào 勂吿告峼祮祰禞筶膏誥诰郜鋯锆
gē 仡割咯哥圪彁戈戓戨扢搁擱格歌滒牫犵疙紇纥肐胳袼謌鎶饹鴚鴿鸽鿔𬤐
gé 佫佮匌呄嗝塥愅挌搁搿擱敋格槅櫊滆猲獦胳膈臈臵茖葛蛒蛤裓觡諽輵轕鎑鎘镉閣閤阁隔革鞈鞷韐韚颌騔骼鬲鮥鮯𬮤
gě 个個各合哿嗰嘅盖舸葛蓋鲄
gè 个亇個各吤硌箇虼鉻铬
gěi 給给
gēn 根跟
gén 哏
gěn 艮
gèn 㮓亘亙揯搄艮茛
gēng 刯庚更椩浭焿畊絙絚緪縆羮羹耕菮賡赓鶊鹒𫵼𬘵
gěng 哽埂峺挭梗綆绠耿莄郠颈骾鯁鲠𬒔
gèng 䱭堩暅更緪縆
gi 怾
gōng 㕬䢼䳍侊供公共功匑匔厷塨宫宮工幊弓恭愩慐攻杛碽篢糼糿紅红肱蚣觥觵躬躳髸龏龔龚𮭥
gǒng 䡗唝嗊巩廾拱拲栱汞澒珙硔輁銾鞏
gòng 㓋供共唝嗊愩慐熕羾貢贛贡
gōu 佝勾句拘枸沟溝痀篝簼緱缑芶袧褠鈎鉤钩鞲韝
gǒu 岣枸狗玽笱耇耈耉芶苟蚼豿
gòu 䝭傋冓勾呴啂坸垢够夠姤媾彀搆撀构構煹糓覯觏訽詬诟購购遘雊
gū 估呱咕唂唃姑嫴孤巬巭杚柧橭毂沽泒磆稒笟箍箛篐罛苽菇菰蓇蛄觚軱軲轱辜酤鈲骨鮕鴣鸪𮝴
